Company,Registered Name(s),Town/City,Rating
10x Banking,10X Banking Technology Services Ltd,London,Worker (A rating)
ASOS,ASOS.com,London,Worker (A rating)
Accenture,Accenture (UK) Limited,London,Worker (A rating)
Adobe,ADOBE GROUP LIMITED,London,Worker (A rating)
Adobe,Adobe Systems Europe Limited,Reading,Worker (A rating)
Airbnb,Airbnb UK Limited,London,Worker (A rating)
Amazon,Amazon UK Services Ltd,London,Worker (A rating)
American Express,American Express Services Europe Limited,London,Worker (A rating)
Anthropic,Anthropic Limited,London,Worker (A rating)
Apple,Apple Europe Limited,London,Worker (A rating)
Arm,Arm Limited,Cambridge,Worker (A rating)
Auto Trader,Autotrader Limited,Manchester,Worker (A rating)
Aveva,AVEVA Solutions Ltd,Cambridge,Worker (A rating)
BAE Systems,BAE Systems Plc,London,Worker (A rating)
BT,BT Group,London,Worker (A rating)
Barclays,Barclays Bank PLC,London,Worker (A rating)
Barclays,Barclays Bank UK PLC,London,Worker (A rating)
Barclays,Barclays Execution Services Limited,London,Worker (A rating)
BenevolentAI,BenevolentAI Ltd,London,Worker (A rating)
Bloomberg,Bloomberg LP,"London,",Worker (A rating)
Booking.com,BOOKING.COM LIMITED,London,Worker (A rating)
ByteDance/TikTok,TikTok Information Technologies UK Limited,London,Worker (A rating)
Capgemini,Capgemini UK PLC,London,Worker (A rating)
Checkout.com,CHECKOUT (WIMBLEDON) LIMITED,Wimbledon,Worker (A rating)
Checkout.com,CHECKOUT LTD,London,Worker (A rating)
Cisco,Cisco International Limited,Cardiff,Worker (A rating)
ClearBank,ClearBank Group Holdings Limited,London,Worker (A rating)
ClearBank,ClearBank Limited,London,Worker (A rating)
Cohere,Cohere UK Ltd,London,Worker (A rating)
Darktrace,Darktrace Holdings Limited,Cambridge,Worker (A rating)
Databricks,Databricks UK Limited,London,Worker (A rating)
Datadog,Datadog Ireland Limited,London,Worker (A rating)
Deliveroo,Roofoods Ltd t/a Deliveroo,London,Worker (A rating)
Deloitte,Deloitte LLP,London,Worker (A rating)
Depop,Depop Limited,London,Worker (A rating)
Dyson,Dyson,Malmesbury,Worker (A rating)
EY,Ernst & Young,London,Worker (A rating)
Eigen Technologies,Eigen Technologies Ltd,London,Worker (A rating)
Elastic,Elasticsearch Limited,London,Worker (A rating)
Encord,Cord Technologies Limited,London,Worker (A rating)
Expedia,Expedia.com Ltd,London,Worker (A rating)
Faculty,Faculty Science Limited,London,Worker (A rating)
Faculty,Faculty Services Limited,Edinburgh,Worker (A rating)
Form3,Form3 Technology Limited,London,Worker (A rating)
Freetrade,Freetrade Limited,London,Worker (A rating)
GoCardless,GoCardless Limited,London,Worker (A rating)
Goldman Sachs,Goldman Sachs International,London,Worker (A rating)
Google,Google (UK) Limited,London,Worker (A (Premium))
Graphcore,Graphcore Limited,Bristol,Worker (A rating)
HSBC,HSBC Holdings plc,London,Worker (A (Premium))
Healx,Healx Limited,Cambridge,Worker (A rating)
